# Graph_Path.txt
# Format:
# EdgeID  NodeA  NodeB  Distance
#
# Notes:
# - Edges are undirected.
# - Distance is the pathfinding cost.

0	0	1	120.0
1	1	2	110.0
2	2	3	130.0
3	3	4	150.0
4	4	5	170.0
5	0	6	260.0
6	1	6	180.0
7	2	7	190.0
8	3	8	220.0
9	4	9	180.0
10	5	10	210.0
11	6	7	160.0
12	7	8	140.0
13	8	9	150.0
14	9	10	160.0
15	6	11	240.0
16	7	12	260.0
17	8	13	230.0
18	9	14	250.0
19	10	15	270.0
20	11	12	150.0
21	12	13	160.0
22	13	14	150.0
23	14	15	180.0
24	0	2	300.0
25	2	8	310.0
26	8	14	330.0
27	3	9	290.0
28	1	7	210.0
29	12	14	340.0
